,ID,Latitude,Longitude,date,.geo,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
70,8,11.043,37.804,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.11632361,0.18329999,0.0986,0.0981,0.1046,0.0884,0.12388125,0.22940625,0.2663375,0.2628,0.29265624,0.07667153
71,8,11.043,37.804,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.09455903,0.16823749,0.09313125,0.079,0.0882,0.0734,0.1132375,0.2135625,0.24339375,0.2438,0.26725626,0.08479028
72,8,11.043,37.804,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.1069507,0.18024375,0.10148125,0.0937,0.0967,0.094,0.1177875,0.2026875,0.23581874,0.2353,0.25851876,0.074164584
73,8,11.043,37.804,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.10296389,0.1473125,0.080568746,0.0867,0.0846,0.0779,0.10830625,0.1867125,0.21190625,0.2092,0.229425,0.06475555
74,8,11.043,37.804,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.109775,0.194925,0.11626875,0.09,0.0956,0.0976,0.12171875,0.20163749,0.2310875,0.2259,0.25813124,0.08434167
75,8,11.043,37.804,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.107354164,0.19321875,0.117850006,0.0958,0.0992,0.1021,0.12815,0.19108126,0.21369375,0.2126,0.23693125,0.089302085
76,9,11.054,37.902,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.09332361,0.12231875,0.06243125,0.0728,0.0782,0.0592,0.09750625,0.18279375,0.20776875,0.1895,0.22433126,0.09601945
77,9,11.054,37.902,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.21848959,0.2481,0.172325,0.2054,0.2042,0.1848,0.2110875,0.29545,0.32939374,0.3342,0.3481875,0.15123056
78,9,11.054,37.902,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.10316042,0.14161876,0.0734125,0.0823,0.1054,0.0882,0.12613125,0.20674375,0.23103125,0.2232,0.25297502,0.09135069
79,9,11.054,37.902,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.10222569,0.151875,0.07563125,0.0808,0.1162,0.1061,0.1478875,0.21502501,0.2402625,0.2278,0.2612125,0.090202086
80,9,11.054,37.902,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.09509306,0.15493125,0.08508125,0.0715,0.1059,0.104,0.1472625,0.201125,0.221125,0.208,0.24606875,0.10735625
81,9,11.054,37.902,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.13012916,0.20120625,0.107575,0.1076,0.1232,0.1182,0.1635875,0.22463125,0.2561125,0.242,0.2890875,0.100286804
82,9,11.054,37.902,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.107299305,0.14943126,0.08568125,0.0786,0.0837,0.0779,0.12329375,0.1625625,0.183125,0.162,0.20343749,0.10370139
83,9,11.054,37.902,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.0992125,0.16013125,0.09145625,0.0725,0.0711,0.0707,0.10585625,0.137725,0.1597875,0.1446,0.17776251,0.08753055
84,9,11.054,37.902,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.10511111,0.1700375,0.10444375,0.0792,0.0754,0.0774,0.106481254,0.1336,0.14759375,0.1432,0.1705625,0.08852917
85,9,11.054,37.902,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9019971085922,11.054039689947631]}",0.10492882,0.169040625,0.10650000200000001,0.07655,0.06915,0.07014999999999999,0.09548125,0.11854062500000001,0.13367812499999998,0.1265,0.160178125,0.06702188
86,10,11.057,37.854,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.09720416,0.13085,0.06575625,0.0733,0.076,0.0501,0.092693746,0.2059875,0.2415125,0.2458,0.26260626,0.09386597
87,10,11.057,37.854,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.11885764,0.16113125,0.08145625,0.0955,0.0991,0.0672,0.11989375,0.24640001,0.2902125,0.2891,0.32071877,0.08922986
88,10,11.057,37.854,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.11180208,0.05563125,0.0263,0.084,0.0761,0.0507,0.06798125,0.117968746,0.13279375,0.1259,0.1358625,0.039743055
89,10,11.057,37.854,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.112230554,0.1831375,0.092056245,0.099,0.1193,0.09,0.15288125,0.2605375,0.300875,0.3063,0.33415624,0.088959716
90,10,11.057,37.854,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.09987014,0.18375,0.097575,0.0899,0.1145,0.0948,0.16444375,0.24897501,0.282875,0.2967,0.31455,0.10417431
91,10,11.057,37.854,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.119861804,0.22491875,0.12540625,0.1086,0.1333,0.1267,0.19099374,0.263125,0.2985,0.3067,0.3383,0.09365069
92,10,11.057,37.854,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.109116666,0.18978125,0.10501875,0.1009,0.1243,0.1192,0.171325,0.22875,0.25535625,0.2636,0.2920625,0.09414166
93,10,11.057,37.854,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.106563196,0.220025,0.1294625,0.1003,0.1263,0.1337,0.18340625,0.23155,0.25688127,0.2669,0.2917375,0.093847916
94,10,11.057,37.854,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.1118375,0.21446249,0.1426625,0.1056,0.1209,0.1417,0.16880625,0.2016625,0.22096251,0.2354,0.24589375,0.08889931
95,10,11.057,37.854,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.854019240432265,11.057026523223858]}",0.122347915,0.22141875500000002,0.14488437999999998,0.1058,0.1104,0.13235,0.156081255,0.1905,0.213275,0.21505000000000002,0.23919374999999998,0.081680555
96,11,11.058,37.802,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.094394445,0.123075,0.055125,0.0725,0.0735,0.0452,0.08355625,0.20146875,0.23740625,0.2353,0.25626874,0.09147084
97,11,11.058,37.802,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.13713472,0.1173625,0.0526875,0.1074,0.1033,0.0822,0.1086875,0.207075,0.23771875,0.2261,0.25025,0.06304722
98,11,11.058,37.802,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.10519236,0.12715,0.055843752,0.0833,0.08,0.053,0.089175,0.20164375,0.23823124,0.2267,0.2608875,0.07645764
99,11,11.058,37.802,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.1094507,0.0984875,0.04549375,0.0879,0.0796,0.0552,0.08050625,0.15953125,0.1837375,0.1832,0.19470625,0.05720417
100,11,11.058,37.802,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.08852986,0.11749375,0.05101875,0.0671,0.0663,0.0396,0.07935,0.19069375,0.22475,0.2147,0.24261875,0.07962639
101,11,11.058,37.802,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.100929864,0.0995125,0.041093748,0.0775,0.0685,0.0452,0.071462505,0.16409999,0.191675,0.1754,0.2095875,0.062455554
102,11,11.058,37.802,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.10086181,0.12353125,0.05459375,0.0783,0.0742,0.0482,0.08724375,0.19945626,0.23495,0.2244,0.25530624,0.08707917
103,11,11.058,37.802,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.802021635177184,11.05800047536923]}",0.093675,0.1208125,0.054075,0.0717,0.0681,0.0445,0.07908125,0.1830875,0.21760625,0.205,0.23654374,0.07578194
