ID,Latitude,Longitude,VH,VV,date,.geo
356,13.497,39.558,-20.74582200381499,-11.215880555673364,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55802237072073,13.496990275051866]}"
357,13.533,39.563,-19.26453492696284,-16.17027114670679,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.56300394884883,13.532966148502844]}"
358,13.609,39.571,-18.023430701787227,-13.982900244280255,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.57104076230899,13.60899039747949]}"
382,13.145,39.5,-20.34571760995476,-16.11939349399784,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.500011435610006,13.145010081533664]}"
383,13.292,39.485,-25.39736490797628,-24.59816645502553,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.484985460590224,13.291975783929617]}"
384,13.301,39.321,-17.522967895145605,-11.89813176989686,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.32103209968639,13.301006585217609]}"
385,13.301,39.384,-22.427754255718774,-13.702553124424462,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.38399891165239,13.301009715391581]}"
386,13.303,39.381,-20.13921154938673,-16.370086854337146,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.38095525420784,13.303003605026547]}"
387,13.303,39.45,-21.87267469346398,-14.592061746433291,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.45001568880777,13.302981168323623]}"
388,13.305,39.359,-18.529652712799557,-13.2179924894325,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.35898433328798,13.305024892389971]}"
389,13.31,39.48,-21.86368084610208,-13.5745873959535,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48003550973642,13.309979188280684]}"
390,13.324,39.347,-18.934134012033553,-17.855478220585685,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.347008732253656,13.324030449681684]}"
391,13.337,39.366,-20.628374565865563,-16.28442660510101,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.36595702836475,13.337024781335673]}"
392,13.449,39.465,-20.693954847349417,-12.76516761457862,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.464975471139,13.44898552559347]}"
393,13.456,39.557,-19.388140817120377,-12.504885356399589,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55700355186238,13.45603229473254]}"
394,13.473,39.485,-16.678976838532144,-15.743237862505636,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48497828016966,13.472999763718766]}"
404,11.051,39.538,-21.968929922683134,-13.599765264952426,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.53798468066216,11.051004008735024]}"
405,11.086,39.555,-16.927867241736564,-12.191485012404131,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55498730355483,11.085971916034332]}"
406,11.086,39.556,-17.686281832329957,-8.611551081809274,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55599447066362,11.085970061492485]}"
407,11.089,39.643,-20.103750531490434,-17.773384252227093,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.642983289639176,11.08896239670537]}"
408,11.09,39.704,-16.993731728445162,-12.204136797248278,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.703964740964736,11.09000185454817]}"
422,11.24,39.685,-15.646108838887212,-10.511276863798786,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.68499713974921,11.239983542215741]}"
803,11.237,39.229,-15.953775552427755,-12.398431780067604,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.22895864252314,11.236975505493486]}"
893,11.577,39.223,-21.34019114171248,-11.391847613755498,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.22299420216279,11.577023018496837]}"
901,11.158,39.236,-17.547904697646935,-11.459531917479456,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.23604035994891,11.15801745921663]}"
902,11.201,39.227,-21.38194649925493,-15.167006489044642,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.227006693320455,11.200982640149654]}"
940,11.066,39.533,-15.514329669575355,-7.416417135396399,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.532976542369006,11.066025258352889]}"
941,11.094,39.585,-16.526719403869023,-14.900431538861085,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58503512248099,11.093963868082586]}"
17,10.38,39.262,-22.09201920155063,-12.663600990385524,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.26204186960269,10.380034775821093]}"
197,10.653,39.1,-15.965100215317822,-10.173881996607378,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.099979341110426,10.652991862178439]}"
198,10.727,38.888,-17.35513166068159,-14.241527764945944,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.888010500165,10.726969124317236]}"
215,10.325,39.234,-21.88777893680003,-15.789943036561665,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.233956012720036,10.324976619649876]}"
334,9.4424,39.37,-19.599336430337463,-13.644909259417275,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.36997154789985,9.442381743430811]}"
335,9.5609,39.476,-17.437661686002027,-9.435752976058687,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.475983269990344,9.560918637186242]}"
336,9.645,39.587,-22.588151824528445,-14.641717981836774,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58702263147138,9.645042012039895]}"
343,9.6091,39.401,-21.57738160576845,-16.783852917626962,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.4009550139242,9.609130487257353]}"
344,9.6565,39.298,-22.01847030929533,-14.758714778372168,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.29801270275321,9.656538049013601]}"
